1 0 1 1 0.03 0.125		1 0 0 0	Up
1 0 1 1 0.03 0.125		1 0 0 0	Up
1 0 1 1 0.03 0.000		0 0 0 1	Right
1 1 0 1 0.03 0.000		0 0 0 1	Right
1 1 0 1 0.03 0.000		0 0 0 1	Right
1 1 0 1 0.03 0.000		0 1 0 0	Down
0 1 1 1 0.03 0.125		0 1 0 0	Down
0 1 1 1 0.03 0.125		0 1 0 0	Down
0 1 1 1 0.03 0.125		0 0 1 0	Left
1 1 1 0 0.03 0.125		1 0 0 0	Up
1 0 1 1 0.03 0.125		1 0 0 0	Up
1 0 1 1 0.03 0.125		1 0 0 0	Up
1 0 1 1 0.03 0.000		0 0 0 1	Right
1 1 0 1 0.03 0.000		0 0 0 1	Right
1 1 0 0 0.03 0.375		0 1 0 0	Down
0 1 1 0 0.03 0.375		0 0 1 0	Left
0 1 1 0 0.04 0.375		0 0 1 0	Left
1 1 1 0 0.04 0.250		1 0 0 0	Up
1 0 1 1 0.04 0.250		1 0 0 0	Up
1 0 1 1 0.04 0.250		1 0 0 0	Up
1 0 1 1 0.04 0.250		1 0 0 0	Up
1 0 1 1 0.04 0.675		0 0 0 1	Right
1 1 0 1 0.04 0.675		0 1 0 0	Down
0 1 0 1 0.05 0.675		0 1 0 0	Down
0 1 1 1 0.05 0.675		0 1 0 0	Down
0 1 1 1 0.05 0.500		0 0 1 0	Left
1 1 1 0 0.05 0.500		0 0 1 0	Left
1 1 1 0 0.05 0.500		0 0 1 0	Left
1 1 1 0 0.05 0.500		0 0 1 0	Left
1 1 1 0 0.05 0.125		0 0 1 0	Left
1 1 1 0 0.05 0.125		0 1 0 0	Down
0 1 1 1 0.06 0.125		0 0 0 1	Right
0 1 0 1 0.06 0.125		0 0 0 1	Right
0 1 0 1 0.06 0.125		0 0 0 1	Right
1 1 0 1 0.06 0.125		0 0 0 1	Right
1 1 0 1 0.06 0.125		0 0 0 1	Right
1 1 0 1 0.06 0.125		0 0 0 1	Right
1 1 0 0 0.06 0.250		1 0 0 0	Up
1 0 1 0 0.06 0.250		1 0 0 0	Up
1 0 1 0 0.06 0.675		1 0 0 0	Up
1 0 1 0 0.06 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.675		0 0 1 0	Left
1 1 1 0 0.07 0.750		0 1 0 0	Down
0 1 1 1 0.07 0.750		0 1 0 0	Down
0 1 1 1 0.07 0.125		0 1 0 0	Down
0 1 1 1 0.07 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 1 0.08 0.125		0 0 0 1	Right
1 1 0 0 0.08 0.250		1 0 0 0	Up
1 0 1 0 0.08 0.250		1 0 0 0	Up
1 0 1 0 0.08 0.375		1 0 0 0	Up
1 0 1 0 0.08 0.375		1 0 0 0	Up
1 0 1 0 0.09 0.375		1 0 0 0	Up
1 0 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 1 0 0.09 0.500		0 0 1 0	Left
1 1 0 0 0.09 0.750		0 1 0 0	Down
0 1 0 1 0.09 0.750		0 1 0 0	Down
0 1 0 1 0.1 0.750		0 1 0 0	Down
0 1 0 1 0.1 0.750		0 1 0 0	Down
0 1 0 1 0.1 0.875		0 1 0 0	Down
0 1 0 1 0.1 0.000		0 0 0 1	Right
1 1 0 1 0.11 0.000		0 0 0 1	Right
1 1 0 1 0.11 0.000		0 0 0 1	Right
1 1 0 1 0.11 0.125		0 0 0 1	Right
1 1 0 1 0.11 0.125		0 0 0 1	Right
1 1 0 1 0.12 0.125		0 0 0 1	Right
1 1 0 1 0.12 0.250		1 0 0 0	Up
1 0 1 1 0.12 0.250		1 0 0 0	Up
1 0 1 1 0.12 0.250		1 0 0 0	Up
1 0 1 1 0.12 0.875		1 0 0 0	Up
1 0 1 1 0.12 0.875		0 0 0 1	Right
1 1 0 1 0.13 0.875		0 0 0 1	Right
1 1 0 1 0.13 0.750		0 1 0 0	Down
0 1 1 1 0.13 0.750		0 1 0 0	Down
0 1 1 1 0.13 0.875		0 1 0 0	Down
0 1 1 1 0.13 0.875		0 1 0 0	Down
0 1 1 1 0.14 0.875		0 0 0 1	Right
1 1 0 0 0.14 0.750		0 1 0 0	Down
0 1 1 0 0.14 0.750		0 1 0 0	Down
0 1 1 0 0.14 0.750		0 0 1 0	Left
1 1 1 0 0.14 0.875		0 0 1 0	Left
1 1 1 0 0.14 0.875		0 0 1 0	Left
1 1 1 0 0.14 0.875		0 0 1 0	Left
1 1 1 0 0.14 0.875		0 0 1 0	Left
1 1 1 0 0.14 0.875		0 0 1 0	Left
1 1 1 0 0.14 0.875		0 0 1 0	Left
1 1 1 0 0.14 0.875		1 0 0 0	Up
1 0 1 1 0.14 0.875		1 0 0 0	Up
1 0 1 1 0.14 0.875		0 0 0 1	Right
1 1 0 1 0.14 0.875		0 0 0 1	Right
1 1 0 1 0.14 0.875		0 0 0 1	Right
1 1 0 1 0.14 0.875		0 0 0 1	Right
1 1 0 1 0.14 0.875		0 0 0 1	Right
1 1 0 1 0.14 0.875		0 0 0 1	Right
1 1 0 1 0.14 0.875		0 0 0 1	Right
1 1 0 0 0.14 0.750		0 1 0 0	Down
0 1 1 0 0.14 0.750		0 1 0 0	Down
0 1 1 0 0.14 0.750		0 1 0 0	Down
0 0 1 0 0.14 0.375		0 0 1 0	Left
1 0 1 0 0.14 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.375		0 0 1 0	Left
1 0 1 0 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.250		1 0 0 0	Up
1 0 1 1 0.15 0.875		0 0 0 1	Right
1 1 0 1 0.15 0.750		0 1 0 0	Down
0 1 0 1 0.16 0.750		0 1 0 0	Down
0 1 0 1 0.16 0.875		0 1 0 0	Down
0 1 0 1 0.16 0.875		0 1 0 0	Down
0 1 0 1 0.17 0.875		0 1 0 0	Down
0 1 0 1 0.17 0.875		0 1 0 0	Down
0 1 0 1 0.17 0.875		0 1 0 0	Down
0 1 0 1 0.17 0.000		0 0 0 1	Right
1 1 0 1 0.17 0.125		0 0 0 1	Right
1 1 0 1 0.17 0.125		0 0 0 1	Right
1 1 0 1 0.18 0.125		0 0 0 1	Right
1 1 0 1 0.18 0.250		1 0 0 0	Up
